iter	RMSE
269	5715.014535
270	5711.972094
271	5706.200977
272	5702.686761
273	5698.066141
274	5691.211569
275	5683.357589
276	5672.784345
277	5668.509919
278	5661.170877
279	5654.439135
280	5642.990922
281	5628.563462
282	5610.875698
283	5598.017134
284	5594.532592
285	5587.632276
286	5582.692967
287	5570.58588
288	5567.66833
289	5563.378678
290	5557.464985
291	5557.048145
292	5551.823514
293	5547.952403
294	5545.922405
295	5539.064321
296	5531.017338
297	5517.240495
298	5513.651522
299	5508.567347
300	5499.023908
301	5493.824456
302	5489.557151
303	5483.696954
304	5478.890563
305	5471.138428
306	5466.43583
307	5448.069932
308	5441.043811
309	5434.432416
310	5423.192317
311	5416.500653
312	5413.323353
313	5408.511672
314	5404.314512
315	5391.326673
316	5389.644234
317	5386.31301
318	5382.281987
319	5376.883946
320	5371.339674
321	5367.465759
322	5361.485815
323	5349.865905
324	5347.758736
325	5340.342496
326	5336.711981
327	5324.144976
328	5318.09065
329	5311.977199
330	5310.113996
331	5302.565837
332	5295.960198
333	5292.543863
334	5289.34892
335	5286.057652
336	5280.554629
337	5276.921064
338	5276.16788
339	5269.434194
340	5262.175159
341	5249.699169
342	5247.995074
343	5244.327301
344	5241.400727
345	5237.987188
346	5234.75263
347	5228.82515
348	5222.975395
349	5210.833711
350	5201.709337
351	5198.736179
352	5188.572335
353	5179.306475
354	5177.686152
355	5174.313283
356	5172.965378
357	5168.445643
358	5167.775933
359	5161.900671
360	5158.113029
361	5151.63684
362	5136.427966
363	5126.998769
364	5123.762395
365	5120.550042
366	5119.905775
367	5117.790266
368	5113.476925
369	5108.956349
370	5101.447304
371	5091.957478
372	5089.343929
373	5079.949976
374	5059.246559
375	5053.182385
376	5048.276081
377	5042.241968
378	5031.85131
379	5028.303251
380	5022.632755
381	5013.440726
382	5011.437745
383	5005.707
384	5004.266388
385	4999.362847
386	4980.24855
387	4979.957809
388	4979.676299
389	4976.091992
390	4971.16777
391	4964.971352
392	4961.042771
393	4952.519519
394	4949.470664
395	4945.060653
396	4934.981212
397	4933.123402
398	4924.487641
399	4920.417777
400	4920.196978
401	4914.071908
402	4908.252801
403	4890.23795
404	4886.344133
405	4883.532108
406	4874.078592
407	4869.908161
408	4864.500441
409	4864.25103
410	4860.926575
411	4851.745736
412	4847.204126
413	4842.166732
414	4840.36317
415	4840.156451
416	4839.918463
417	4839.687742
418	4835.513789
419	4831.327945
420	4827.309127
421	4823.648431
422	4815.521397
423	4808.816262
424	4800.229279
425	4796.436768
426	4791.625589
427	4785.041445
428	4780.868324
429	4777.101685
430	4768.991552
431	4765.346078
432	4763.347466
433	4747.536909
434	4739.142587
435	4724.061983
436	4719.016449
437	4716.575439
438	4713.066679
439	4708.279058
440	4705.875011
441	4702.056891
442	4697.298539
443	4689.730172
444	4686.085492
445	4682.887801
446	4674.806063
447	4668.514507
448	4665.092077
449	4662.064184
450	4658.737329
451	4653.677219
452	4649.464662
453	4638.131208
454	4632.171093
455	4626.82394
456	4623.265175
457	4622.081482
458	4619.919746
459	4605.62223
460	4601.244578
461	4595.89804
462	4592.708719
463	4589.357038
464	4583.630977
465	4579.236609
466	4576.917348
467	4571.194314
468	4563.898879
469	4561.925691
470	4558.119554
471	4547.583277
472	4544.97071
473	4525.106977
474	4522.011429
475	4519.012087
476	4516.924587
477	4511.899969
478	4506.429563
479	4499.343366
480	4496.951862
481	4492.986999
482	4489.478369
483	4485.791794
484	4480.695578
485	4475.891434
486	4470.667409
487	4467.699783
488	4466.191712
489	4463.279881
490	4458.762685
491	4452.134792
492	4449.215008
493	4431.103756
494	4428.263276
495	4425.509943
496	4419.121509
497	4417.503335
498	4414.828963
499	4412.220849
